identifier,day,width,length
A1,DAY0,4.0,20.0
A1,DAY0,4.0,23.0
A1,DAY0,3.0,19.0
A1,DAY0,2.0,16.0
A2,DAY0,3.0,17.0
A2,DAY0,2.0,18.0
A2,DAY0,2.0,16.0
A2,DAY0,2.0,17.0
A3,DAY0,3.0,21.0
A3,DAY0,2.0,17.0
A3,DAY0,3.0,19.0
A3,DAY0,3.0,18.0
A4,DAY0,2.0,16.0
A4,DAY0,3.0,20.0
A4,DAY0,2.0,19.0
A4,DAY0,3.0,19.0
A5,DAY0,3.0,17.0
A5,DAY0,3.0,17.0
A5,DAY0,3.0,20.0
A5,DAY0,2.0,19.0
B1,DAY0,3.0,19.0
B1,DAY0,2.0,17.0
B1,DAY0,3.0,24.0
B1,DAY0,2.0,17.0
B2,DAY0,3.0,23.0
B2,DAY0,2.0,17.0
B2,DAY0,3.0,23.0
B2,DAY0,2.0,16.0
B3,DAY0,3.0,20.0
B3,DAY0,3.0,18.0
B3,DAY0,2.0,16.0
B3,DAY0,3.0,18.0
B4,DAY0,2.0,18.0
B4,DAY0,2.0,16.0
B4,DAY0,3.0,20.0
B4,DAY0,3.0,19.0
B5,DAY0,2.0,17.0
B5,DAY0,3.0,16.0
B5,DAY0,2.0,19.0
B5,DAY0,2.0,16.0
C1,DAY0,3.0,21.0
C1,DAY0,2.0,16.0
C1,DAY0,3.0,24.0
C1,DAY0,2.0,14.0
C2,DAY0,2.0,16.0
C2,DAY0,3.0,20.0
C2,DAY0,3.0,23.0
C2,DAY0,3.0,22.0
C3,DAY0,3.0,19.0
C3,DAY0,4.0,26.0
C3,DAY0,3.0,19.0
C3,DAY0,3.0,20.0
C4,DAY0,2.0,16.0
C4,DAY0,2.0,20.0
C4,DAY0,3.0,21.0
C4,DAY0,2.0,16.0
C5,DAY0,2.0,16.0
C5,DAY0,2.0,18.0
C5,DAY0,3.0,19.0
C5,DAY0,4.0,27.0
A1,DAY7,2.5,17.0
A1,DAY7,3.0,19.0
A1,DAY7,3.5,20.0
A1,DAY7,4.0,26.0
C1,DAY7,3.5,22.0
C1,DAY7,3.0,29.0
C1,DAY7,2.5,18.0
C1,DAY7,3.5,22.5
A4,DAY7,2.0,16.5
A4,DAY7,3.0,21.0
A4,DAY7,2.0,17.0
A4,DAY7,3.0,18.0
B4,DAY7,2.0,17.0
B4,DAY7,2.0,18.5
B4,DAY7,3.0,19.0
B4,DAY7,4.0,24.0
B1,DAY7,4.0,23.5
B1,DAY7,3.0,20.0
B1,DAY7,3.0,21.0
B1,DAY7,4.0,24.0
A3,DAY7,2.0,15.0
A3,DAY7,2.0,16.5
A3,DAY7,2.0,15.0
A3,DAY7,2.0,19.0
C2,DAY7,2.0,16.5
C2,DAY7,2.0,17.5
C2,DAY7,2.0,18.0
C2,DAY7,3.0,20.0
C5,DAY7,3.0,20.0
C5,DAY7,3.0,18.5
C5,DAY7,3.0,19.0
C5,DAY7,4.0,23.0
A5,DAY7,3.0,18.5
A5,DAY7,2.0,18.0
A5,DAY7,3.0,20.5
A5,DAY7,3.0,23.0
B2,DAY7,2.5,17.5
B2,DAY7,3.0,20.0
B2,DAY7,3.0,21.0
B2,DAY7,4.0,25.0
C4,DAY7,3.0,20.5
C4,DAY7,3.5,21.5
C4,DAY7,3.0,21.5
C4,DAY7,4.0,27.0
A2,DAY7,2.5,16.5
A2,DAY7,3.0,20.0
A2,DAY7,3.0,18.0
A2,DAY7,4.0,24.0
B5,DAY7,3.0,20.0
B5,DAY7,3.0,19.5
B5,DAY7,2.5,17.5
B5,DAY7,2.5,17.0
C3,DAY7,3.0,19.0
C3,DAY7,2.0,16.5
C3,DAY7,2.0,18.0
C3,DAY7,4.0,27.0
B3,DAY7,3.0,18.0
B3,DAY7,3.0,18.0
B3,DAY7,2.0,16.5
B3,DAY7,4.0,23.0
A1,DAY14,3.0,18.0
A1,DAY14,3.0,19.0
A1,DAY14,3.5,21.0
A1,DAY14,4.0,26.0
C1,DAY14,3.5,23.0
C1,DAY14,2.5,19.0
C1,DAY14,2.5,19.0
C1,DAY14,3.0,22.0
A4,DAY14,2.5,19.0
A4,DAY14,2.5,17.0
A4,DAY14,2.5,17.0
A4,DAY14,3.5,21.0
B4,DAY14,2.5,17.0
B4,DAY14,3.0,19.0
B4,DAY14,4.0,25.0
B4,DAY14,3.5,25.0
B1,DAY14,3.5,21.0
B1,DAY14,2.5,19.0
B1,DAY14,3.0,20.0
B1,DAY14,3.5,24.0
A3,DAY14,2.5,16.0
A3,DAY14,2.5,17.0
A3,DAY14,2.5,20.0
A3,DAY14,2.0,15.0
C2,DAY14,3.0,20.0
C2,DAY14,3.0,18.0
C2,DAY14,2.5,18.0
C2,DAY14,2.5,17.0
C5,DAY14,3.0,19.0
C5,DAY14,3.5,23.0
C5,DAY14,3.5,20.0
C5,DAY14,3.0,19.0
B3,DAY14,3.0,20.0
B3,DAY14,3.0,23.0
B3,DAY14,2.5,19.0
B3,DAY14,3.0,20.0
C3,DAY14,4.0,25.0
C3,DAY14,2.5,18.0
C3,DAY14,3.0,21.0
C3,DAY14,3.0,20.0
B5,DAY14,3.0,21.0
B5,DAY14,3.0,22.0
B5,DAY14,3.0,21.0
B5,DAY14,4.0,27.0
A2,DAY14,4.0,24.0
A2,DAY14,3.0,20.0
A2,DAY14,2.5,17.0
A2,DAY14,2.5,19.0
C4,DAY14,3.0,20.0
C4,DAY14,3.0,20.0
C4,DAY14,2.5,18.0
C4,DAY14,2.5,17.0
B2,DAY14,3.0,20.0
B2,DAY14,3.0,19.0
B2,DAY14,2.5,17.0
B2,DAY14,4.0,27.0
A5,DAY14,3.5,23.0
A5,DAY14,2.5,18.0
A5,DAY14,2.5,19.0
A5,DAY14,2.5,17.0
